"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"171","Salmonella Typhimurium_10_Vacuum Beef Striploins","-9.28715754701184","-10.1201196700996","-25.8292104325188","-26.8704130863785","-33.6576933009816","-34.6988959548413","-18.7488734050569","-19.7900760589167"
"172","Spoilage_10_C02 Beef Striploins","4.22946682634337","5.01836513568824","-11.3618919981024","-10.3757691114213","-5.56689461939528","-4.58077173271418","-5.87284622106807","-4.88672333438697"
"173","Escherichia coli_10_C02 Beef Striploins","-11.5925795802257","-10.8036812708808","-20.0924054017872","-19.1062825151061","-19.986953489159","-19.0008306024779","NA","NA"
"174","Spoilage_12_Vacuum Beef Striploins","-7.28239911961301","-8.11536124270079","-11.822565000416","-12.8637676542757","-12.0308141442685","-13.0720167981282","-14.3499726826944","-15.3911753365541"
"175","Escherichia coli_12_Vacuum Beef Striploins","-9.85758194307303","-10.6905440661608","-7.82065382804572","-8.86185648190545","-7.77660983291929","-8.81781248677901","-7.8417556004746","-8.88295825433432"
"176","Salmonella Typhimurium_12_Vacuum Beef Striploins","-18.4222514347848","-19.2552135578725","-15.9981792404398","-17.0393818942996","-16.301814118317","-17.3430167721768","NA","NA"
"177","Spoilage_12_C02 Beef Striploins","2.18903263743358","1.97267323365483","-13.612156919188","-13.8826061739114","-10.4718287379199","-10.7422779926433","-19.8840248745618","-20.1544741292852"
"178","Escherichia coli_12_C02 Beef Striploins","-4.86231761276566","-5.0786770165444","-22.3881485833087","-22.6585978380321","-23.6589859444325","-23.9294351991559","NA","NA"
"179","Salmonella Typhimurium_12_C02 Beef Striploins","-9.032325180717","-9.24868458449575","-24.8951460869989","-25.1655953417223","-25.8341840576277","-26.1046333123511","-24.7779216653819","-25.0483709201053"
"180","Spoilage_15_Vacuum Beef Striploins","-9.24769349392002","-10.8099418441836","-18.406592275709","-20.3594027135385","-19.3197384310302","-21.2725488688597","-13.256335425867","-15.2091458636965"
"181","Escherichia coli_15_Vacuum Beef Striploins","-4.22496948805273","-5.78721783831633","-35.7755296209443","-37.7283400587738","-13.467391884898","-15.4202023227275","-2.21600717260959","-4.16881761043908"
"182","Salmonella Typhimurium_15_Vacuum Beef Striploins","3.65484848872085","2.09260013845725","-5.09862668565288","-7.05143712348238","-12.2828928841835","-14.235703322013","NA","NA"
"183","Spoilage_15_C02 Beef Striploins","-3.08408523494167","-3.30044463872041","-9.88199297517584","-10.1524422298993","-8.18938990708404","-8.45983916180747","-12.0763830895442","-12.3468323442676"
"184","Escherichia coli_15_C02 Beef Striploins","-12.4384219183263","-12.654781322105","NA","NA","-12.9611540387611","-13.2316032934845","NA","NA"
"185","Salmonella Typhimurium_15_C02 Beef Striploins","-4.75604767438588","-4.97240707816463","-10.758579911347","-11.0290291660704","-7.43814536245939","-7.70859461718282","-9.26125768919189","-9.53170694391532"
"186","Spoilage_20_Vacuum Beef Striploins","-3.28147627020902","-4.84372462047261","-1.86171253890341","-3.81452297673291","NA","NA","NA","NA"
"187","Escherichia coli_20_Vacuum Beef Striploins","-10.9525940219718","-12.5148423722354","-47.5843648813551","-49.5371753191846","-33.9302584103744","-35.8830688482039","NA","NA"
"188","Salmonella Typhimurium_20_Vacuum Beef Striploins","-7.81915097133954","-9.38139932160314","-8.58441714192473","-10.5372275797542","-10.4204302403517","-12.3732406781812","NA","NA"
"189","Spoilage_20_C02 Beef Striploins","-6.44118182378613","-7.27414394687391","-11.5592380662252","-12.6004407200849","-11.410372800695","-12.4515754545548","NA","NA"
"190","Escherichia coli_20_C02 Beef Striploins","-10.4310597313639","-11.2640218544517","-10.1688875005555","-11.2100901544152","-10.7740158192146","-11.8152184730743","NA","NA"
"191","Salmonella Typhimurium_20_C02 Beef Striploins","0.736886537385351","-0.0960755857024287","2.03687523288425","0.995672579024522","0.687191956353477","-0.354010697506249","-1.9774014116824","-3.01860406554213"
"192","Spoilage_30_Vacuum Beef Striploins","-14.2189246352939","-15.7811729855575","-15.1216908231152","-17.0745012609447","NA","NA","NA","NA"
